date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:55	3200/3200	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Sep%202026%2023:39:55%20GMT	https://preapproval.addi.com/robots.txt		(from )
18:39:55	10894/10894	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202026%2023:39:55%20GMT	https://preapproval.addi.com/	C:/Mis%20lugares%20Web/addi/preapproval.addi.com/index.html	(from )
18:39:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2009%20Sep%202026%2023:39:56%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Mis%20lugares%20Web/addi/www.googletagmanager.com/gtm5445.html	(from https://preapproval.addi.com/)
18:39:56	18034/18034	---MCZ	200	added ('OK')	application/javascript	etag:W/%224672-19f8cb8fb28%22	https://preapproval.addi.com/_next/static/chunks/main-c325723d26a50f8bacf2.js	C:/Mis%20lugares%20Web/addi/preapproval.addi.com/_next/static/chunks/main-c325723d26a50f8bacf2.js	(from https://preapproval.addi.com/)
18:39:56	1539/1539	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603-19f8cb8fb28%22	https://preapproval.addi.com/_next/static/chunks/webpack-eb080e3f091731f228fb.js	C:/Mis%20lugares%20Web/addi/preapproval.addi.com/_next/static/chunks/webpack-eb080e3f091731f228fb.js	(from https://preapproval.addi.com/)
18:39:56	118421/118421	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ce95-1a0220ba680%22	https://preapproval.addi.com/_next/static/chunks/framework.965053d24d43ff28a1bc.js	C:/Mis%20lugares%20Web/addi/preapproval.addi.com/_next/static/chunks/framework.965053d24d43ff28a1bc.js	(from https://preapproval.addi.com/)
18:39:56	1385/1385	---MCZ	200	added ('OK')	application/javascript	etag:W/%22569-19ff8dc1a10%22	https://preapproval.addi.com/_next/static/chunks/184aeaac.e1e861ffae38eb2bf653.js	C:/Mis%20lugares%20Web/addi/preapproval.addi.com/_next/static/chunks/184aeaac.e1e861ffae38eb2bf653.js	(from https://preapproval.addi.com/)
18:39:57	1823/1823	---MCZ	200	added ('OK')	application/javascript	etag:W/%2271f-19f8cb8fb28%22	https://preapproval.addi.com/_next/static/chunks/d997595d.a65eea216822298e2ddb.js	C:/Mis%20lugares%20Web/addi/preapproval.addi.com/_next/static/chunks/d997595d.a65eea216822298e2ddb.js	(from https://preapproval.addi.com/)
18:39:57	2262/2262	---MCZ	200	added ('OK')	application/javascript	etag:W/%228d6-19f8cb8fb28%22	https://preapproval.addi.com/_next/static/chunks/55e59f9b.a69714df55a049651244.js	C:/Mis%20lugares%20Web/addi/preapproval.addi.com/_next/static/chunks/55e59f9b.a69714df55a049651244.js	(from https://preapproval.addi.com/)
18:39:57	838/838	---MCZ	200	added ('OK')	application/javascript	etag:W/%22346-19ff8dc1a10%22	https://preapproval.addi.com/_next/static/chunks/d8a2a414.61b076beed53bfe0d5cb.js	C:/Mis%20lugares%20Web/addi/preapproval.addi.com/_next/static/chunks/d8a2a414.61b076beed53bfe0d5cb.js	(from https://preapproval.addi.com/)
18:39:57	52883/52883	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ce93-19f8cb8fb28%22	https://preapproval.addi.com/_next/static/chunks/ab92754c.a5abf821451700666c87.js	C:/Mis%20lugares%20Web/addi/preapproval.addi.com/_next/static/chunks/ab92754c.a5abf821451700666c87.js	(from https://preapproval.addi.com/)
